Statistik från Skolverket, https://www.skolverket.se

Gymnasieskola - Antal elever
Valt läsår: 2020/21


Skola;Skol-enhetskod;Skolkommun;Kommun-kod;Typ av huvudman;Huvudman;Huvudman orgnr;Antal elever;Antal elever skolår 1;Antal elever skolår 2;Antal elever skolår 3;Andel kvinnor (%);Andel m utl bakgr (%);Andel m högutb föräldrar (%);
Sjölins Gymnasium Göteborg;53640774;Göteborg;1480;Enskild;Sjölins Gymnasium AB;5563758399;478;157;154;167;44;12;68;
SKF Tekniska Gymnasium;58502307;Göteborg;1480;Enskild;Skf Sverige Aktiebolag;5562408301;90;32;26;32;13;24;71;
Thoren Innovation School Göteborg;97177328;Göteborg;1480;Enskild;Thoren Innovation School AB;5568902653;207;73;51;83;6;49;48;
Västsvenska Gymnasiet;34831349;Göteborg;1480;Enskild;Idrottens Skola i Göteborg AB;5562035906;284;96;104;84;26;94;17;
Yrkesgymnasiet Göteborg;63511898;Göteborg;1480;Enskild;Thorengruppen AB;5566139290;368;124;116;128;49;47;30;
Älvstrandsgymnasiet;72127035;Hagfors;1783;Kommunal;Hagfors;2120001884;384;152;119;113;36;24;36;
Alléskolan 1;70969714;Hallsberg;1861;Kommunal;Sydnärkes Utbildningsförbund;2220001180;216;86;71;59;25;15;42;
Alléskolan 2;85003442;Hallsberg;1861;Kommunal;Sydnärkes Utbildningsförbund;2220001180;186;78;56;52;73;46;23;
Alléskolan 3;22752398;Hallsberg;1861;Kommunal;Sydnärkes Utbildningsförbund;2220001180;281;103;86;92;14;19;30;
Alléskolan 4;68734112;Hallsberg;1861;Kommunal;Sydnärkes Utbildningsförbund;2220001180;169;61;59;49;62;15;55;
Alléskolan 5;71922787;Hallsberg;1861;Kommunal;Sydnärkes Utbildningsförbund;2220001180;189;57;69;63;51;30;36;
Alléskolan 6;78730011;Hallsberg;1861;Kommunal;Sydnärkes Utbildningsförbund;2220001180;194;103;69;22;37;54;14;
Alléskolan 7;74148070;Hallsberg;1861;Kommunal;Sydnärkes Utbildningsförbund;2220001180;170;48;52;70;40;15;49;
Ridsportsgymnasiet;50696507;Hallstahammar;1961;Enskild;Ridskolan Strömsholm RS AB;5566940408;91;32;31;28;98;..;60;
Aspero Idrottsgymn. Halmstad;92507006;Halmstad;1380;Enskild;Aspero Friskolor AB;5566363973;306;83;110;113;42;5;70;
Drottning Blankas Gymnasieskola Halmstad;44653962;Halmstad;1380;Enskild;DBGY Kronan AB;5565668794;226;77;83;66;81;44;40;
Kattegattgymnasiet 1;20100577;Halmstad;1380;Kommunal;Halmstad;2120001215;294;127;87;80;48;21;66;
Kattegattgymnasiet 2;81993306;Halmstad;1380;Kommunal;Halmstad;2120001215;237;90;70;77;17;22;78;
Kattegattgymnasiet 3;19051089;Halmstad;1380;Kommunal;Halmstad;2120001215;303;123;89;91;42;45;69;
Kattegattgymnasiet 4;29097621;Halmstad;1380;Kommunal;Halmstad;2120001215;182;98;44;40;..;24;44;
Kattegattgymnasiet 5;61195886;Halmstad;1380;Kommunal;Halmstad;2120001215;376;144;115;117;9;14;35;
LBS Kreativa Gymnasiet Halmstad;47264019;Halmstad;1380;Enskild;Ljud & Bildskolan Lbs AB;5564851649;138;48;46;44;17;25;55;
Praktiska Gymnasiet Halmstad;87764775;Halmstad;1380;Enskild;Praktiska Sverige AB;5562575786;264;108;87;69;44;55;25;
Realgymnasiet Halmstad;71401921;Halmstad;1380;Enskild;Lärande i Sverige AB;5565715892;40;40;.;.;88;..;40;
Sannarpsgymnasiet 1;35670336;Halmstad;1380;Kommunal;Halmstad;2120001215;123;54;48;21;53;32;46;
Sannarpsgymnasiet 2;50198492;Halmstad;1380;Kommunal;Halmstad;2120001215;408;149;143;116;63;26;57;
Sannarpsgymnasiet 3;48438396;Halmstad;1380;Kommunal;Halmstad;2120001215;316;117;83;116;63;25;63;
Sannarpsgymnasiet 4;98052678;Halmstad;1380;Kommunal;Halmstad;2120001215;233;61;90;82;57;39;76;
Sannarpsgymnasiet 5;95993832;Halmstad;1380;Kommunal;Halmstad;2120001215;57;57;.;.;49;91;32;
Sturegymnasiet 1;20099064;Halmstad;1380;Kommunal;Halmstad;2120001215;311;107;106;98;76;19;68;
Sturegymnasiet 2;44341171;Halmstad;1380;Kommunal;Halmstad;2120001215;126;85;26;15;56;57;37;
Sturegymnasiet 3;77130356;Halmstad;1380;Kommunal;Halmstad;2120001215;108;37;36;35;40;30;37;
Sturegymnasiet 4;32671805;Halmstad;1380;Kommunal;Halmstad;2120001215;166;46;51;69;57;17;46;
Berga naturbruksgymnasium;38448056;Haninge;0136;Region;Region Stockholm;2321000016;174;62;57;55;83;11;50;
Fredrika Bremergymnasiet;16313848;Haninge;0136;Kommunal;Haninge;2120000084;2 107;747;692;668;38;34;42;
Riksäpplet;79606767;Haninge;0136;Kommunal;Haninge;2120000084;206;79;71;56;44;68;21;
Tornedalsskolan;11294673;Haparanda;2583;Kommunal;Haparanda;2120002775;246;68;78;100;45;44;30;
Martin Koch-gymnasiet;86327236;Hedemora;2083;Kommunal;Hedemora;2120002254;397;171;115;111;42;41;34;
Campeon Frigymnasium;41745951;Helsingborg;1283;Enskild;Campeon Frigymnasium AB;5566264056;207;69;71;67;76;11;74;
Cultura Gymnasium;83137205;Helsingborg;1283;Enskild;Cultura Utbildning AB;5567127237;176;56;57;63;53;91;51;
Drottning Blankas Gymnasieskola Helsingborg Prästgatan;66335258;Helsingborg;1283;Enskild;DBGY Kronan AB;5565668794;324;111;113;100;68;38;39;
Drottning Blankas Gymnasieskola Helsingborg S:a Kyrkogatan;28398531;Helsingborg;1283;Enskild;DBGY Kronan AB;5565668794;244;76;86;82;64;49;40;
Filbornaskolan;54172830;Helsingborg;1283;Kommunal;Helsingborg;2120001157;630;240;174;216;38;26;57;
G.O. Kompetens Transportgymnasium;86310217;Helsingborg;1283;Enskild;G.O. Kompetens Transportgymnasium AB;5566412549;147;71;34;42;23;16;20;
Helsingborgs Lärlingsgymnasium;77352223;Helsingborg;1283;Kommunal;Helsingborg;2120001157;325;117;103;105;46;30;34;
Helsingborgs Sportgymnasium;75458014;Helsingborg;1283;Enskild;Helsingborgs Sportgymnasium AB;5591204101;93;31;28;34;22;42;38;
Impius gymnasium;65136104;Helsingborg;1283;Enskild;Impius Utvecklings AB;5565523858;139;52;45;42;29;7;55;
International school of Hbg/Gy;61826221;Helsingborg;1283;Kommunal;Helsingborg;2120001157;140;45;50;45;54;71;67;
JENSEN Gymnasium Helsingborg;56330385;Helsingborg;1283;Enskild;Jensen Education College AB;5566358759;246;79;88;79;70;69;43;
Johannes Hedberggymnasiet;20228162;Helsingborg;1283;Enskild;Folkuniversitetet Stiftelsen Kurs- Verksamheten Vid Lunds Universitet;8450003481;385;148;143;94;63;23;77;
LBS Kreativa Gymnasiet Helsingborg;68240485;Helsingborg;1283;Enskild;Ljud & Bildskolan Lbs AB;5564851649;245;91;85;69;29;23;57;
Mega Musik gymnasium;95046058;Helsingborg;1283;Enskild;Mega Musik Gymnasieskola AB;5565956553;140;47;48;45;51;11;56;
Nicolaiskolan;44392995;Helsingborg;1283;Kommunal;Helsingborg;2120001157;585;258;169;158;74;34;50;
NTI Gymnasiet Helsingborg;79033948;Helsingborg;1283;Enskild;NTI Gymnasiet Ellips AB;5565970471;357;119;124;114;17;41;52;
NTI Vetenskapsgymnasiet Helsingborg;48610406;Helsingborg;1283;Enskild;NTI Gymnasiet Macro AB;5561203679;41;17;24;.;41;68;51;
Olympiaskolan;53462953;Helsingborg;1283;Kommunal;Helsingborg;2120001157;485;211;138;136;57;54;44;
Praktiska Gymnasiet Helsingborg;69241230;Helsingborg;1283;Enskild;Praktiska Sverige AB;5562575786;144;59;47;38;17;31;33;
ProCivitas Privata Gymnasium Helsingborg;60730660;Helsingborg;1283;Enskild;ProCivitas Privata Gymnasium AB;5566157102;539;179;170;190;68;16;81;
Realgymnasiet Helsingborg;85544331;Helsingborg;1283;Enskild;Lärande i Sverige AB;5565715892;110;48;24;38;74;..;43;
Rid- & Djursjukvårdsgymnasiet, Helsingborg;83085136;Helsingborg;1283;Enskild;Humeq Education AB;5565974671;152;58;47;47;93;..;54;
Rönnowska skolan;80327946;Helsingborg;1283;Kommunal;Helsingborg;2120001157;894;367;251;276;26;51;25;
Thoren Business School Helsingborg;82592568;Helsingborg;1283;Enskild;Thorengruppen AB;5566139290;484;169;163;152;55;29;67;
Thoren Innovation School Helsingborg;30359269;Helsingborg;1283;Enskild;Thoren Innovation School AB;5568902653;182;70;53;59;27;42;62;
Tycho Braheskolan;78875918;Helsingborg;1283;Kommunal;Helsingborg;2120001157;522;179;163;180;36;34;71;
Victum Gymnasium;78023197;Helsingborg;1283;Enskild;Victum Gymnasium Aktiebolag;5564889482;237;108;71;58;81;50;27;
Kunskapskällan;86385479;Herrljunga;1466;Kommunal;Herrljunga;2120001520;240;94;57;89;38;24;40;
Individuella programmet;53494028;Hjo;1497;Kommunal;Hjo;2120001728;11;11;.;.;..;..;..;
Björkhagsskolan, gymnasium;40991561;Hofors;2104;Kommunal;Hofors;2120002296;20;7;6;7;50;65;..;
Huddingegymnasiet;49862313;Huddinge;0126;Kommunal;Huddinge;2120000068;544;180;188;176;46;69;47;
NTI Gymnasiet Södertörn;99838438;Huddinge;0126;Enskild;NTI Gymnasiet Ellips AB;5565970471;247;86;75;86;10;46;47;
Sjödalsgymnasiet;42859669;Huddinge;0126;Kommunal;Huddinge;2120000068;668;235;213;220;40;52;45;
Sågbäcksgymnasiet;70923626;Huddinge;0126;Kommunal;Huddinge;2120000068;518;284;130;104;34;64;26;
Widerströmska gymnasiet;55871389;Huddinge;0126;Kommunal;Huddinge;2120000068;289;154;118;17;51;55;55;
Yrkesgymnasiet Huddinge;92905347;Huddinge;0126;Enskild;Thorengruppen AB;5566139290;258;103;83;72;28;46;28;
Östra gymnasiet;99592025;Huddinge;0126;Kommunal;Huddinge;2120000068;842;325;256;261;49;29;69;
Bromangymnasiet 1;34247736;Hudiksvall;2184;Kommunal;Hudiksvall;2120002379;473;168;144;161;69;21;53;
Bromangymnasiet 2;47550455;Hudiksvall;2184;Kommunal;Hudiksvall;2120002379;646;215;228;203;38;18;50;
Bromangymnasiet 3;30329172;Hudiksvall;2184;Kommunal;Hudiksvall;2120002379;253;85;83;85;24;12;50;
Bromangymnasiet 4;82423815;Hudiksvall;2184;Kommunal;Hudiksvall;2120002379;95;93;2;.;40;52;21;
Hudikgymnasiet;76877530;Hudiksvall;2184;Enskild;Hudiksvalls Gymnasieskola AB;5590053723;124;47;48;29;55;15;45;
Hultsfreds gymnasium 1;47046103;Hultsfred;0860;Kommunal;Hultsfred;2120000712;213;67;77;69;32;37;34;
Hultsfreds gymnasium 2;56664512;Hultsfred;0860;Kommunal;Hultsfred;2120000712;109;44;43;22;40;74;20;
Hultsfreds gymnasium 3;38167912;Hultsfred;0860;Kommunal;Hultsfred;2120000712;146;46;45;55;46;40;41;
Hylte gymnasieskola;83501757;Hylte;1315;Kommunal;Hylte;2120001207;75;21;26;28;40;75;16;
OneSchool Global Nyby Campus Gymnasium;43826783;Hylte;1315;Enskild;OneSchool Global Nyby Campus AB;5566657515;24;10;4;10;..;..;..;
Fridegårdsgymnasiet;58125096;Håbo;0305;Kommunal;Håbo;2120000241;511;181;180;150;55;17;52;
Fridegårdsgymnasiet- AST-programmen;82914148;Håbo;0305;Kommunal;Håbo;2120000241;93;38;27;28;46;13;62;
Pihlskolan gymnasium;20620556;Hällefors;1863;Kommunal;Hällefors;2120001942;148;56;52;40;36;59;21;
Härjedalens gymnasium;17173461;Härjedalen;2361;Kommunal;Härjedalen;2120002510;212;63;68;81;51;17;40;
Härnösands gymnasium 1;55535552;Härnösand;2280;Kommunal;Härnösand;2120002403;194;155;19;20;51;58;37;
Härnösands gymnasium 2;19560192;Härnösand;2280;Kommunal;Härnösand;2120002403;283;126;82;75;37;18;47;
Härnösands gymnasium 3;30468157;Härnösand;2280;Kommunal;Härnösand;2120002403;392;144;129;119;53;24;70;
Fridagymnasiet i Mölnlycke;67286143;Härryda;1401;Enskild;Fridaskolorna AB;5564515988;82;82;.;.;29;15;71;
Hulebäcksgymnasiet 1;98053087;Härryda;1401;Kommunal;Härryda;2120001264;385;121;147;117;52;9;72;
Hulebäcksgymnasiet 2;92533079;Härryda;1401;Kommunal;Härryda;2120001264;228;79;77;72;74;13;69;
Hulebäcksgymnasiet 3;61528940;Härryda;1401;Kommunal;Härryda;2120001264;369;123;132;114;44;15;90;
Hulebäcksgymnasiet 4;23681822;Härryda;1401;Kommunal;Härryda;2120001264;76;75;.;1;36;28;38;
Hulebäcksgymnasiet 5;66861851;Härryda;1401;Kommunal;Härryda;2120001264;430;152;138;140;63;12;73;
Hulebäcksgymnasiet 6;72206824;Härryda;1401;Kommunal;Härryda;2120001264;314;106;104;104;14;9;72;
Hässleholms Tekniska Skola;92858957;Hässleholm;1293;Kommunal;Hässleholm;2120000985;862;267;308;287;51;32;60;
Jacobsskolan;46660042;Hässleholm;1293;Kommunal;Hässleholm;2120000985;600;227;186;187;34;36;33;
Norrängsskolan;33678402;Hässleholm;1293;Kommunal;Hässleholm;2120000985;36;11;16;9;42;..;..;
Kullagymnasiet 1;44113417;Höganäs;1284;Kommunal;Höganäs;2120001165;211;90;57;64;18;38;58;
Kullagymnasiet 2;43627097;Höganäs;1284;Kommunal;Höganäs;2120001165;199;45;66;88;48;14;67;
Högsby utbildningscenter;67783774;Högsby;0821;Kommunal;Högsby;2120000688;80;40;15;25;33;85;19;
Hörby Yrkesgymnasium;38917647;Hörby;1266;Enskild;Hörby Yrkesgymnasium AB;5568212939;58;21;22;15;31;..;..;
Gymnasieutbildningen i Höör;45101776;Höör;1267;Kommunal;Höör;2120001116;24;11;7;6;46;50;..;
Karolinaskolan;21363125;Höör;1267;Enskild;Föreningen Fogdaröd omsorg, vård & utbildning utan personligt ansvar;7420002045;27;8;7;12;..;..;..;
Lapplands Gymnasium Jokkmokk;39555838;Jokkmokk;2510;Kommunal;Lapplands Kommunalförbund;2220000760;103;38;30;35;44;27;47;
Didaktus Jakobsberg;85214294;Järfälla;0123;Enskild;Didaktus Skolor AB;5564732856;407;130;132;145;60;88;23;
Järfälla gymnasium;82084961;Järfälla;0123;Kommunal;Järfälla;2120000043;890;422;204;264;30;61;37;
Bäckadalsgymn RO 1;46162400;Jönköping;0680;Kommunal;Jönköping;2120000530;301;115;94;92;6;22;56;
Bäckadalsgymn RO 2;39565412;Jönköping;0680;Kommunal;Jönköping;2120000530;220;113;55;52;42;74;19;
Bäckadalsgymn RO 3;98369689;Jönköping;0680;Kommunal;Jönköping;2120000530;270;87;102;81;17;8;35;
Bäckadalsgymn RO 4;56529916;Jönköping;0680;Kommunal;Jönköping;2120000530;281;115;89;77;28;10;41;
Bäckadalsgymn RO 5;40810950;Jönköping;0680;Kommunal;Jönköping;2120000530;231;87;85;59;61;20;39;
Drottning Blankas Gymnasieskola Jönköping;12279302;Jönköping;0680;Enskild;DBGY Juvelen AB;5565789129;146;40;40;66;84;40;36;
Erik Dahlbergsgymnasiet Ro 1;67279263;Jönköping;0680;Kommunal;Jönköping;2120000530;376;128;126;122;22;16;77;
Erik Dahlbergsgymnasiet RO 2;40037982;Jönköping;0680;Kommunal;Jönköping;2120000530;179;84;51;44;75;56;27;
Erik Dahlbergsgymnasiet RO 3;51210136;Jönköping;0680;Kommunal;Jönköping;2120000530;364;125;114;125;51;38;80;
Erik Dahlbergsgymnasiet RO 4;73829818;Jönköping;0680;Kommunal;Jönköping;2120000530;276;92;91;93;39;18;64;
Erik Dahlbergsgymnasiet RO 5;60881275;Jönköping;0680;Kommunal;Jönköping;2120000530;284;96;92;96;67;35;56;
JENSEN Gymnasium Jönköping;18881773;Jönköping;0680;Enskild;Jensen Education College AB;5566358759;50;15;16;19;60;48;42;
Kungsgymnasiet;50908408;Jönköping;0680;Enskild;Jönköpings Kristna Skolförening;8260017648;64;20;26;18;44;16;58;
LBS Kreativa Gymnasiet Jönköping;18594470;Jönköping;0680;Enskild;Ljud & Bildskolan Lbs AB;5564851649;253;82;82;89;25;17;54;
Magelungens Gymnasium Jönköping;69271071;Jönköping;0680;Enskild;Magelungen Utveckling AB;5564891447;51;37;6;8;45;..;65;
Per Brahegymnasiet RO 1;78295411;Jönköping;0680;Kommunal;Jönköping;2120000530;435;161;124;150;70;21;61;
Per Brahegymnasiet RO 2;80686587;Jönköping;0680;Kommunal;Jönköping;2120000530;328;128;99;101;67;38;77;
Per Brahegymnasiet RO 3;72232853;Jönköping;0680;Kommunal;Jönköping;2120000530;285;95;95;95;82;13;76;
Per Brahegymnasiet RO4;78986011;Jönköping;0680;Kommunal;Jönköping;2120000530;251;98;90;63;56;35;62;
Praktiska Gymnasiet Jönköping;17849518;Jönköping;0680;Enskild;Praktiska Sverige AB;5562575786;155;52;50;53;12;46;22;
Sandagymnasiet RO 1 Ny fr lå 17/18;64205087;Jönköping;0680;Kommunal;Jönköping;2120000530;383;128;127;128;46;17;71;
Sandagymnasiet RO 2 Ny fr lå 17/18;50500028;Jönköping;0680;Kommunal;Jönköping;2120000530;224;64;63;97;69;24;63;
Sandagymnasiet RO 4 Ny fr lå 17/18;94570025;Jönköping;0680;Kommunal;Jönköping;2120000530;166;51;64;51;44;30;77;
Sandagymnasiet RO 5;91984508;Jönköping;0680;Kommunal;Jönköping;2120000530;355;128;126;101;43;29;46;
Tenhults naturbruksgymnasium;78659008;Jönköping;0680;Region;Region Jönköpings Län;2321000057;218;88;69;61;76;6;45;
Thoren Business School Jönköping;66151516;Jönköping;0680;Enskild;Thorengruppen AB;5566139290;31;31;.;.;58;39;45;
Vettergymnasiet Jönköping;12448823;Jönköping;0680;Enskild;Wetterbygdens Gymnasium AB;5567507420;66;20;22;24;35;53;20;
Furuhed 3;73008905;Kalix;2514;Kommunal;Kalix;2120002692;163;57;53;53;61;14;48;
Furuhedsskolan 1;40667807;Kalix;2514;Kommunal;Kalix;2120002692;213;84;74;55;47;27;41;
Furuhedsskolan 2;18091973;Kalix;2514;Kommunal;Kalix;2120002692;202;72;71;59;32;9;52;
Calmare Internationella Skola;88466776;Kalmar;0880;Enskild;CIS Kalmar AB;5565896213;185;72;60;53;51;29;69;
Dag Hammarskjöld Gymnasiet;36539945;Kalmar;0880;Enskild;Stiftelsen Kalmar Waldorfskola;8324012288;12;5;2;5;100;..;..;
Fria Läroverken i Kalmar;40634612;Kalmar;0880;Enskild;Gymnasieskolor i Syd AB;5569306979;184;71;56;57;38;36;42;
Jenny Nyströmsskolan 1 HT, RL, IM;62439199;Kalmar;0880;Kommunal;Kalmarsunds Gymnasieförbund;8324016453;186;98;44;44;56;36;37;
Jenny Nyströmsskolan 2 ES;66132676;Kalmar;0880;Kommunal;Kalmarsunds Gymnasieförbund;8324016453;252;86;90;76;75;19;62;
Jenny Nyströmsskolan 3 NA, GYSÄR;57942242;Kalmar;0880;Kommunal;Kalmarsunds Gymnasieförbund;8324016453;79;27;26;26;65;54;65;
Jenny Nyströmsskolan 4 BF, VO;80762863;Kalmar;0880;Kommunal;Kalmarsunds Gymnasieförbund;8324016453;221;74;71;76;70;40;35;
Lars Kaggskolan 1 NA, HV;77688926;Kalmar;0880;Kommunal;Kalmarsunds Gymnasieförbund;8324016453;360;119;123;118;69;21;71;
Lars Kaggskolan 2 TE, VF;14508922;Kalmar;0880;Kommunal;Kalmarsunds Gymnasieförbund;8324016453;416;141;139;136;25;21;71;
Lars Kaggskolan 3 IM;89409574;Kalmar;0880;Kommunal;Kalmarsunds Gymnasieförbund;8324016453;115;69;32;14;35;77;18;
Lars Kaggskolan 4 BA, EE, FT;69629086;Kalmar;0880;Kommunal;Kalmarsunds Gymnasieförbund;8324016453;410;146;132;132;5;13;44;
Naturbruksgymnasiet Kalmar 1;88624631;Kalmar;0880;Enskild;Hushållningssällskapet Kalmar-Kronoberg-Blekinge;2620000071;129;45;43;41;64;9;45;
Naturbruksgymnasiet Kalmar 2;35390185;Kalmar;0880;Enskild;Hushållningssällskapet Kalmar-Kronoberg-Blekinge;2620000071;31;13;14;4;..;..;39;
Praktiska Gymnasiet Kalmar;31657916;Kalmar;0880;Enskild;Praktiska Sverige AB;5562575786;149;57;41;51;40;38;23;
Stagneliusskolan 1 SA-M, SA-A, HA-A, IM-A;21008461;Kalmar;0880;Kommunal;Kalmarsunds Gymnasieförbund;8324016453;167;57;58;52;52;11;63;
Stagneliusskolan 2 EK;54606928;Kalmar;0880;Kommunal;Kalmarsunds Gymnasieförbund;8324016453;464;158;161;145;55;22;65;
Stagneliusskolan 3 SA-L, SA-R;53893730;Kalmar;0880;Kommunal;Kalmarsunds Gymnasieförbund;8324016453;213;79;78;56;55;8;62;
Stagneliusskolan 4 HA, SA-B, SA-S;83732494;Kalmar;0880;Kommunal;Kalmarsunds Gymnasieförbund;8324016453;428;151;132;145;68;24;53;
SYAB Transportgymnasium;46241804;Kalmar;0880;Enskild;SYAB Transportgymnasium AB;5567290035;98;36;31;31;33;..;37;
Vuxenutbildningen i Karlsborg och Karlsborgs gymnasieskola;55870331;Karlsborg;1446;Kommunal;Karlsborg;2120001629;11;10;1;.;..;..;..;
Fria Läroverken i Karlshamn;42573391;Karlshamn;1082;Enskild;Gymnasieskolor i Syd AB;5569306979;125;47;46;32;54;29;38;
Vägga gymnasieskola 1b;21673083;Karlshamn;1082;Kommunal;Karlshamn;2120000845;90;38;29;23;36;64;20;
Vägga gymnasieskola 2;64574972;Karlshamn;1082;Kommunal;Karlshamn;2120000845;289;116;82;91;71;21;53;
Vägga gymnasieskola 3;19741742;Karlshamn;1082;Kommunal;Karlshamn;2120000845;319;123;100;96;40;19;51;
Vägga gymnasieskola 4;29032715;Karlshamn;1082;Kommunal;Karlshamn;2120000845;323;106;129;88;33;24;63;
Karlskoga Idrottsgymnasium;45830583;Karlskoga;1883;Enskild;Karlskoga Idrottsgymnasium AB;5567823611;65;16;20;29;60;20;54;
Möckelngymnasiet Ro 2;48931433;Karlskoga;1883;Kommunal;Karlskoga;2120001991;312;99;100;113;62;29;61;
Möckelngymnasiet Ro 3;97270136;Karlskoga;1883;Kommunal;Karlskoga;2120001991;291;100;89;102;55;46;21;
Möckelngymnasiet Ro 4;19909435;Karlskoga;1883;Kommunal;Karlskoga;2120001991;237;83;76;78;16;11;50;
af Chapmangymnasiet;30530571;Karlskrona;1080;Kommunal;Karlskrona;2120000829;774;255;249;270;60;15;68;
Aspero Idrottsgymn. Karlskrona;78839208;Karlskrona;1080;Enskild;Aspero Friskolor AB;5566363973;237;84;79;74;51;9;80;
Ehrensvärdska gymnasiet;96024712;Karlskrona;1080;Kommunal;Karlskrona;2120000829;676;249;213;214;50;27;68;
Fischerströmska gymnasiet;36845597;Karlskrona;1080;Kommunal;Karlskrona;2120000829;193;113;39;41;29;64;23;
Praktiska Gymnasiet Karlskrona;40829056;Karlskrona;1080;Enskild;Praktiska Sverige AB;5562575786;12;.;.;12;..;..;..;
Törnströmska gymnasiet;85800840;Karlskrona;1080;Kommunal;Karlskrona;2120000829;605;232;202;171;26;11;56;
Fria Läroverken Karlstad;27115998;Karlstad;1780;Enskild;Fria Läroverken i Sverige AB;5569172041;568;198;210;160;46;12;63;
KLARA Teoretiska Gymnasium Karlstad;79516949;Karlstad;1780;Enskild;KLARA Gymnasium Kunskap AB;5566303938;365;109;132;124;55;29;65;
Lillerudsgymnasiet;65662401;Karlstad;1780;Enskild;Lillerudsgymnasiet AB;5566243548;250;98;85;67;86;6;55;
Nobelgymnasiet 1;55654062;Karlstad;1780;Kommunal;Karlstad;2120001850;153;39;40;74;44;13;45;
Nobelgymnasiet 2;82378820;Karlstad;1780;Kommunal;Karlstad;2120001850;319;119;105;95;57;14;41;
Nobelgymnasiet 3;79909954;Karlstad;1780;Kommunal;Karlstad;2120001850;332;112;115;105;9;12;51;
Nobelgymnasiet 4;83612768;Karlstad;1780;Kommunal;Karlstad;2120001850;212;120;66;26;44;60;22;
NTI Gymnasiet Karlstad;41867682;Karlstad;1780;Enskild;NTI Gymnasiet Ellips AB;5565970471;164;72;55;37;9;30;50;
Praktiska Gymnasiet Karlstad;38645259;Karlstad;1780;Enskild;Praktiska Sverige AB;5562575786;263;112;86;65;35;34;28;
Sundsta-Älvkullegymnasiet 1;99147574;Karlstad;1780;Kommunal;Karlstad;2120001850;372;141;105;126;58;25;85;
Sundsta-Älvkullegymnasiet 2;42168219;Karlstad;1780;Kommunal;Karlstad;2120001850;494;168;161;165;31;11;79;
Sundsta-Älvkullegymnasiet 4;89630390;Karlstad;1780;Kommunal;Karlstad;2120001850;490;169;167;154;70;14;77;
Sundsta-Älvkullegymnasiet 5;65637648;Karlstad;1780;Kommunal;Karlstad;2120001850;357;125;111;121;72;12;69;
Sundsta-Älvkullegymnasiet 6;62272121;Karlstad;1780;Kommunal;Karlstad;2120001850;80;30;24;26;76;16;71;
Sundsta-Älvkullegymnasiet 7;50669042;Karlstad;1780;Kommunal;Karlstad;2120001850;36;8;16;12;..;..;61;
Thoren Business School Karlstad;87207941;Karlstad;1780;Enskild;Thorengruppen AB;5566139290;298;109;106;83;47;35;52;
Tingvallagymnasiet 1;73235474;Karlstad;1780;Kommunal;Karlstad;2120001850;494;164;160;170;52;20;61;
Tingvallagymnasiet 2;56249605;Karlstad;1780;Kommunal;Karlstad;2120001850;273;91;93;89;67;45;33;
Duveholmsgymnasiet 1;23836342;Katrineholm;0483;Kommunal;Katrineholm;2120000340;262;83;88;91;64;32;52;
Duveholmsgymnasiet 3;10193789;Katrineholm;0483;Kommunal;Katrineholm;2120000340;24;12;10;2;..;..;..;
Duveholmsgymnasiet 4;79471219;Katrineholm;0483;Kommunal;Katrineholm;2120000340;164;61;52;51;42;87;12;
Katrineholms Tekniska College 1;63791419;Katrineholm;0483;Kommunal;Katrineholm;2120000340;329;115;112;102;49;44;39;
Katrineholms Tekniska College 2;39805497;Katrineholm;0483;Kommunal;Katrineholm;2120000340;285;101;89;95;11;14;52;
Lindengymnasiet;38400227;Katrineholm;0483;Kommunal;Katrineholm;2120000340;380;132;128;120;51;30;43;
Sannerudsskolan 7-9;83291761;Kil;1715;Kommunal;Kil;2120001751;12;12;.;.;..;..;..;
Lapplands Gymnasium Kiruna enhet 1;81619482;Kiruna;2584;Kommunal;Lapplands Kommunalförbund;2220000760;195;66;80;49;61;28;53;
Lapplands Gymnasium Kiruna enhet 2;83829189;Kiruna;2584;Kommunal;Lapplands Kommunalförbund;2220000760;251;103;71;77;36;13;44;
Lapplands Gymnasium Kiruna enhet 3;46145886;Kiruna;2584;Kommunal;Lapplands Kommunalförbund;2220000760;249;89;74;86;49;12;40;
Rymdgymnasiet;90006712;Kiruna;2584;Enskild;Malmens Friskola AB;5565528022;93;32;31;30;43;..;74;
Flygteknikcenter, Ljungbyhed;43649848;Klippan;1276;Kommunal;Klippan;2120000928;69;23;24;22;23;23;68;
Kommunala aktivitetsansvaret;68524034;Klippan;1276;Kommunal;Klippan;2120000928;3;3;.;.;..;..;..;
Segragymnasiet Klippan;75344502;Klippan;1276;Enskild;Sveriges Naturbruksgymnasium AB;5569162562;130;46;43;41;75;..;45;
Tegelbruksskolan;84247499;Klippan;1276;Kommunal;Klippan;2120000928;353;151;110;92;14;15;26;
Åbyskolan;27041885;Klippan;1276;Kommunal;Klippan;2120000928;465;182;131;152;51;36;40;
Åbyskolan 3;13509408;Klippan;1276;Kommunal;Klippan;2120000928;55;10;22;23;49;100;..;
Sjögrenska gymnasiet;97064126;Knivsta;0330;Kommunal;Knivsta;2120003013;112;41;43;28;36;82;17;
Räddningsgymnasiet Sandö;38233622;Kramfors;2282;Kommunal;Kramfors;2120002429;69;21;29;19;46;20;65;
